epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1288.55,0.44472,0.56397,0.92575,0.71326,0.72098,0.74778,0.69346,0.33993,0.46464,0.87599,0.002179,0.002179,0.002179
81,1304.76,0.44987,0.56178,0.92717,0.69324,0.72924,0.73462,0.68267,0.34642,0.47993,0.87671,0.00208,0.00208,0.00208
82,1321.12,0.44465,0.55606,0.91953,0.79303,0.64224,0.7487,0.69386,0.34977,0.46616,0.88001,0.001981,0.001981,0.001981
83,1337.54,0.44269,0.55014,0.91809,0.87679,0.59972,0.74465,0.69165,0.32591,0.45463,0.87171,0.001882,0.001882,0.001882
84,1353.75,0.44709,0.56139,0.92259,0.66695,0.80487,0.75512,0.69722,0.34511,0.46765,0.87557,0.001783,0.001783,0.001783
85,1370.1,0.43653,0.54649,0.91478,0.75293,0.70286,0.75865,0.70367,0.33256,0.45618,0.87068,0.001684,0.001684,0.001684
86,1386.45,0.43398,0.54545,0.91913,0.77362,0.70496,0.74955,0.69317,0.33674,0.46704,0.8714,0.001585,0.001585,0.001585
87,1402.78,0.4355,0.54247,0.91475,0.75032,0.6813,0.74451,0.6959,0.32519,0.44985,0.86819,0.001486,0.001486,0.001486
88,1419.19,0.43265,0.55265,0.91702,0.82779,0.63148,0.73535,0.67811,0.3311,0.4519,0.86842,0.001387,0.001387,0.001387
89,1435.44,0.42827,0.54191,0.91384,0.60393,0.75569,0.72485,0.671,0.32743,0.4526,0.86915,0.001288,0.001288,0.001288
90,1451.56,0.42776,0.53969,0.91662,0.72531,0.67611,0.7269,0.67493,0.32194,0.44048,0.86586,0.001189,0.001189,0.001189
91,1489.73,0.40595,0.53295,0.89516,0.70148,0.73679,0.73445,0.68253,0.31449,0.44778,0.86548,0.00109,0.00109,0.00109
92,1505.89,0.40194,0.52947,0.89643,0.74561,0.68925,0.74672,0.69657,0.33444,0.45694,0.86706,0.000991,0.000991,0.000991
93,1521.99,0.39787,0.52292,0.89258,0.8071,0.66265,0.7272,0.68014,0.31764,0.45194,0.86684,0.000892,0.000892,0.000892
94,1538,0.39692,0.52335,0.89287,0.8427,0.63853,0.74354,0.69238,0.31668,0.44628,0.86548,0.000793,0.000793,0.000793
95,1554.01,0.39503,0.52283,0.89041,0.8696,0.64646,0.74249,0.69242,0.31669,0.43738,0.86375,0.000694,0.000694,0.000694
96,1569.8,0.39315,0.51574,0.88879,0.71617,0.71075,0.74734,0.69597,0.3102,0.43719,0.8629,0.000595,0.000595,0.000595
97,1585.11,0.38621,0.51169,0.88508,0.81588,0.66482,0.74545,0.69334,0.30973,0.42797,0.86366,0.000496,0.000496,0.000496
98,1601.13,0.38776,0.51232,0.88582,0.8772,0.58982,0.75222,0.70171,0.3087,0.42603,0.86138,0.000397,0.000397,0.000397
99,1617.25,0.37992,0.50649,0.88455,0.82531,0.61748,0.74259,0.69297,0.30452,0.4331,0.86108,0.000298,0.000298,0.000298
100,1633.36,0.38291,0.50898,0.88411,0.86274,0.6503,0.75503,0.70624,0.30543,0.42908,0.86025,0.000199,0.000199,0.000199
